LiaisonId,Code
18828,1497
18829,1498
18831,1499
18833,1500
18835,1501
18837,1502
18838,1503
18840,1504
18846,1505
18847,1506
18848,1507
18849,1508
18850,1509
18853,1510
18854,1511
18855,1512
18857,1513
18859,1514
18861,1515
18863,1516
18864,1517
18866,1518
18872,1519
18873,1520
18874,1521
18875,1522
18876,1523
18878,1524
18879,1525
18880,1526
18882,1527
18884,1528
18886,1529
18888,1530
18889,1531
18891,1532
18897,1533
18898,1534
18899,1535
18902,1536
18903,1537
18904,1538
18906,1539
18908,1540
18910,1541
18912,1542
18913,1543
18915,1544
18921,1545
18922,1546
18923,1547
18925,1548
18926,1549
18927,1550
18929,1551
18931,1552
18933,1553
18935,1554
18936,1555
18938,1556
18944,1557
18945,1558
18946,1559
18947,1560
18948,1561
18949,1562
18951,1563
18953,1564
18955,1565
18956,1566
18957,1567
18958,1568
18959,1569
18960,1570
18966,1571
18969,1572
18970,1573
18972,1574
18974,1575
18976,1576
18978,1577
18981,1578
18990,1579
18992,1580
18994,1581
19001,1582
19027,1583
19029,1584
19031,1585
19033,1586
19035,1587
19038,1588
19044,1589
19046,1590
19048,1591
19050,1592
19055,1593
19062,1594
19064,1595
19066,1596
19068,1597
19069,1598
19071,1599
19093,1600
19095,1601
19096,1602
19097,1603
19098,1604
19100,1605
19120,1606
19121,1607
19122,1608
19123,1609
19125,1610
19142,1611
19143,1612
19144,1613
19146,1614
19152,1615
19153,1616
19155,1617
19161,1618
19162,1619
19163,1620
19170,1621
19176,1622
19187,1623
19238,1624
19243,1625
19253,1626
19256,1627
19257,1628
19259,1629
19260,1630
19261,1631
19262,1632
19263,1633
19266,1634
19279,1635
19280,1636
19282,1637
19283,1638
19284,1639
19318,1640
19321,1641
19341,1642
19343,1643
19348,1644
19353,1645
19356,1646
19358,1647
19373,1648
19374,1649
19378,1650
19379,1651
19380,1652
19381,1653
1940,1654
19429,1655
19430,1656
19448,1657
19449,1658
19450,1659
19451,1660
19452,1661
19453,1662
19454,1663
19455,1664
19457,1665
19458,1666
19459,1667
19460,1668
19476,1669
19477,1670
19478,1671
19479,1672
19480,1673
19481,1674
19482,1675
19483,1676
19484,1677
19485,1678
19486,1679
19487,1680
19488,1681
19490,1682
19491,1683
19492,1684
19493,1685
19541,1686
19542,1687
19548,1688
19549,1689
19550,1690
19551,1691
19599,1692
19600,1693
19618,1694
19619,1695
19620,1696
19621,1697
19622,1698
19623,1699
19624,1700
19625,1701
19627,1702
19628,1703
19629,1704
19630,1705
19646,1706
19647,1707
19648,1708
19649,1709
19650,1710
19651,1711
19652,1712
