Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-10-15,16478,0.3646409,0.3945385318200177,0.029897640268046255,2,0.1377235246086606,False
2025-10-16,16478,0.35119048,0.3930260278237954,0.04183555021416102,3,0.1377235246086606,False
2025-10-17,16478,0.3411371,0.3979160552802323,0.05677894409325107,4,0.1377235246086606,False
2025-10-18,16478,0.41935483,0.4064944254818528,0.012860400730076549,5,0.1377235246086606,False
2025-10-19,16478,0.40625,0.37886155470335037,0.027388445296649633,6,0.1377235246086606,False
2025-10-20,16478,0.47435898,0.3945347363117218,0.07982423957557677,0,0.1377235246086606,False
2025-10-21,16478,0.45384616,0.3956655015850078,0.058180655012129656,1,0.1377235246086606,False
2025-10-22,16478,0.47058824,0.4053202440710592,0.06526799297613622,2,0.1377235246086606,False
2025-10-23,16478,0.3465909,0.3868366292957438,0.04024572291413675,3,0.1377235246086606,False
2025-10-24,16478,0.38431373,0.3946579048717243,0.010344172486088932,4,0.1377235246086606,False
2025-10-25,16478,0.3617021,0.4060593703810435,0.04435725603740032,5,0.1377235246086606,False
2025-10-26,16478,0.4347826,0.3878579925624951,0.04692460187987246,6,0.1377235246086606,False
2025-10-27,16478,0.35555556,0.3878264159912328,0.03227085182611744,0,0.1377235246086606,False
2025-10-28,16478,0.4224599,0.3829410242630273,0.03951887611615362,1,0.1377235246086606,False
2025-10-30,16478,0.33333334,0.39671742905037427,0.06338408578293347,3,0.1377235246086606,False
2025-10-31,16478,0.45878136,0.39580836632495414,0.06297299525494088,4,0.1377235246086606,False
2025-09-26,16480,0.18181819,0.11703497855632793,0.06478320868045796,4,0.1377235246086606,False
2025-09-30,16480,0.1,0.173370396808218,0.07337039531810188,1,0.1377235246086606,False
2025-10-10,16480,0.083333336,0.1465657620662476,0.06323242624938741,4,0.1377235246086606,False
2025-10-13,16480,0.07692308,0.12010224720278063,0.04317916741409579,0,0.1377235246086606,False
2025-10-26,16480,0.07692308,0.12617256052499315,0.049249480736308304,6,0.1377235246086606,False
2025-10-27,16480,0.071428575,0.10810294135693475,0.036674366735257355,0,0.1377235246086606,False
2025-09-06,16482,0.4090909,0.3958063774040901,0.013284528977516974,5,0.1377235246086606,False
2025-09-07,16482,0.45864663,0.39414758992665033,0.06449903535372992,6,0.1377235246086606,False
2025-09-08,16482,0.31016043,0.37427256559125094,0.06411213730565218,0,0.1377235246086606,False
