TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
B,2025-08-19,0.50795305,0.1535388872717411,-0.007998348757437084,0.3624125092380764
B,2025-08-20,0.18895957,0.14911270376047447,0.0006219885423877363,0.03922487643607517
B,2025-08-21,0.10375327,0.1429233313448141,-0.005424921375598668,-0.033745141250495964
B,2025-08-22,0.107874505,0.12871494146527257,0.03578591891844387,-0.05662635516187273
B,2025-08-23,0.110270046,0.12321445241248179,-0.010760844471432773,-0.002183562243359957
B,2025-08-24,0.12402851,0.1256085418272389,0.0001143591971081606,-0.001694389678960559
B,2025-08-25,0.12416757,0.12707332080746195,-0.006838115135156869,0.003932363309342407
B,2025-08-26,0.12442789,0.12823031150567812,-0.01211582255989767,0.008313403321923568
B,2025-08-27,0.11639145,0.12902840801344315,-0.010607460943972575,-0.0020294969027682963
B,2025-08-28,0.12895402,0.1294672520309583,0.00024080936138859302,-0.000754038269559415
B,2025-08-29,0.15498215,0.13015007203739268,0.025420184043193603,-0.0005881064796036117
B,2025-08-30,0.49570343,0.13116577322687556,0.012115303680989103,0.3524223520758237
B,2025-08-31,0.18519434,0.13225986513515,0.0011811181321456157,0.05175336006118034
B,2025-09-01,0.123991534,0.13379945227114956,-0.006683090894281302,-0.0031248272629842977
B,2025-09-02,0.109650545,0.13633989385745768,-0.016449220648947684,-0.010240128386293956
B,2025-09-03,0.11951996,0.1402891978612999,-0.018341896268734368,-0.0024273451826343495
B,2025-09-04,0.14813289,0.14687513738892177,0.0016986037528683613,-0.00044085067891477814
B,2025-09-05,0.10726109,0.15517942945788143,0.013330747736028527,-0.06124908572319157
B,2025-09-06,0.11992497,0.1639636488086781,0.030733994212090186,-0.07477267304958832
B,2025-09-07,0.17268974,0.15742039715886347,-0.0015510092882376576,0.016820348018808995
B,2025-09-08,0.5127586,0.14195696354704948,-0.00939466440099579,0.3801963134866978
B,2025-09-09,0.22442147,0.13879885546134701,-0.020959708232424153,0.10658232412842272
B,2025-09-10,0.4883721,0.13981428541517749,-0.020846145530124364,0.3694039475935845
B,2025-09-11,0.2096363,0.13370820460009802,0.010961879233090771,0.06496621696904203
B,2025-09-12,0.48116043,0.12287811833452085,-0.00021507757997998346,0.35849739134575515
B,2025-09-13,0.16493607,0.11254875298530508,0.050915987309083345,0.0014713253794397113
B,2025-09-14,0.096365154,0.10835285201225064,-0.004092913506439759,-0.007894784716290626
B,2025-09-15,0.09816274,0.1070431025118762,-0.012209961355156968,0.0033295993122596512
B,2025-09-16,0.08318569,0.10649629067482431,-0.022262634321696836,-0.0010479686919565162
B,2025-09-17,0.08016341,0.10653522437259498,-0.020118129729372193,-0.006253682847129807
B,2025-09-18,0.08946979,0.10701532289628454,0.020017938896172482,-0.037563471333777826
B,2025-09-19,0.0968672,0.1077268374940793,-0.011609475530512696,0.000749841748896779
B,2025-09-20,0.0815492,0.10862178041014314,0.0435373241999966,-0.0706099071747607
B,2025-09-21,0.10099667,0.1096221698157441,-0.005363316691983334,-0.0032621800166135473
B,2025-09-22,0.09647261,0.11072223576179249,-0.013564936479555244,-0.0006846857687675539
B,2025-09-23,0.09603705,0.11161841678475737,-0.021913728769762494,0.006332364556778658
B,2025-09-24,0.10142846,0.11212695063334208,-0.012147446357429734,0.001448952328568398
