LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
13521,B,16,20.49193,20.49193
13521,C,16,20.49193,20.49193
13522,B,1,20.49193,20.49193
13523,B,5,20.49193,20.49193
13524,B,2,20.49193,20.49193
13525,B,4,20.49193,20.49193
13525,C,4,20.49193,20.49193
13526,B,24,20.49193,20.49193
13526,C,24,20.49193,20.49193
13581,B,10,20.49193,20.49193
13581,C,10,20.49193,20.49193
13582,B,2,20.49193,20.49193
13583,B,20,20.49193,20.49193
13583,C,20,20.49193,20.49193
13585,B,3,20.49193,20.49193
13585,C,3,20.49193,20.49193
13586,B,25,20.49193,20.49193
13586,C,25,20.49193,20.49193
13587,B,2,20.49193,20.49193
13588,B,10,20.49193,20.49193
13588,C,10,20.49193,20.49193
13589,B,7,20.49193,20.49193
13589,C,7,20.49193,20.49193
13590,B,9,20.49193,20.49193
13591,B,62,20.49193,20.49193
13591,C,62,20.49193,20.49193
13645,B,13,20.49193,20.49193
13645,C,13,20.49193,20.49193
13646,B,4,20.49193,20.49193
13646,C,4,20.49193,20.49193
13647,B,76,20.49193,20.49193
13647,C,76,20.49193,20.49193
13649,B,2,20.49193,20.49193
13650,B,113,20.49193,20.49193
13650,C,113,20.49193,20.49193
13651,B,21,20.49193,20.49193
13651,C,21,20.49193,20.49193
13652,B,72,20.49193,20.49193
13652,C,72,20.49193,20.49193
13653,B,54,20.49193,20.49193
13653,C,54,20.49193,20.49193
13654,B,45,20.49193,20.49193
13654,C,45,20.49193,20.49193
13655,B,232,20.49193,20.49193
13655,C,232,20.49193,20.49193
13709,B,21,20.49193,20.49193
13709,C,21,20.49193,20.49193
13710,B,148,20.49193,20.49193
13710,C,148,20.49193,20.49193
13711,B,7,20.49193,20.49193
13711,C,7,20.49193,20.49193
13712,B,13,20.49193,20.49193
13712,C,13,20.49193,20.49193
13713,B,190,20.49193,20.49193
13713,C,190,20.49193,20.49193
13714,B,30,20.49193,20.49193
13714,C,30,20.49193,20.49193
13715,B,90,20.49193,20.49193
13715,C,90,20.49193,20.49193
13716,B,95,20.49193,20.49193
13716,C,95,20.49193,20.49193
13717,B,48,20.49193,20.49193
13717,C,48,20.49193,20.49193
13718,B,515,20.49193,20.49193
13718,C,515,20.49193,20.49193
13772,B,48,20.49193,20.49193
13772,C,48,20.49193,20.49193
13773,B,1,20.49193,20.49193
13774,B,6,20.49193,20.49193
13774,C,6,20.49193,20.49193
13775,B,42,20.49193,20.49193
13775,C,42,20.49193,20.49193
13776,C,1,20.49193,20.49193
13777,B,9,20.49193,20.49193
13777,C,9,20.49193,20.49193
13778,B,9,20.49193,20.49193
13778,C,9,20.49193,20.49193
13779,B,5,20.49193,20.49193
13780,B,57,20.49193,20.49193
13780,C,57,20.49193,20.49193
13834,B,12,20.49193,20.49193
13834,C,12,20.49193,20.49193
13835,B,26,20.49193,20.49193
13835,C,26,20.49193,20.49193
13836,B,476,20.49193,20.49193
13836,C,476,20.49193,20.49193
13837,B,26,20.49193,20.49193
13837,C,26,20.49193,20.49193
13838,B,227,20.49193,20.49193
13838,C,227,20.49193,20.49193
13840,B,137,20.49193,20.49193
13840,C,137,20.49193,20.49193
13841,B,29,20.49193,20.49193
13841,C,29,20.49193,20.49193
13842,B,1136,20.49193,20.49193
13842,C,1136,20.49193,20.49193
13897,B,4,20.49193,20.49193
13897,C,4,20.49193,20.49193
13899,B,3,20.49193,20.49193
13899,C,3,20.49193,20.49193
13902,B,17,20.49193,20.49193
13902,C,17,20.49193,20.49193
13956,B,84,20.49193,20.49193
13956,C,84,20.49193,20.49193
13957,B,5,20.49193,20.49193
13957,C,5,20.49193,20.49193
13958,B,34,20.49193,20.49193
13958,C,34,20.49193,20.49193
13960,B,30,20.49193,20.49193
13961,B,3,20.49193,20.49193
13962,B,144,20.49193,20.49193
13962,C,144,20.49193,20.49193
14016,B,7,20.49193,20.49193
14017,B,251,20.49193,20.49193
14017,C,251,20.49193,20.49193
14019,B,648,20.49193,20.49193
14019,C,648,20.49193,20.49193
14020,B,94,20.49193,20.49193
